Restaurant,Item,Description,Price
Regent Thai,Curry Puff (2 pcs.),"Deep-fried puff pastry filled with minced chicken, potatoes , onions  and curry powder served with fresh cucumber relish",$5.95
Regent Thai,Chicken Satay (4 skewers),Grilled chicken skewer served with our peanut sauce and fresh cucumber relish,$6.95
Regent Thai,Kanom Jeeb (6 pcs.),"Steamed dumplings stuffed with pork, crab meat,shrimp and water chestnuts, served with chef's special sauce",$6.95
Regent Thai,Edamame,,$6.00
Regent Thai,Spring Rolls (Vegetarian),"Deep-fried mixed vegetable spring rolls served with our sweet & sour sauce
     cut",$5.95
Regent Thai,Shrimp Toast (4 pcs.),Deep-Fried minced shrimp on bread served with cucumber relish,$7.95
Regent Thai,Goong Tod Mun (2 pcs.),"Minced shrimp, lightly battered deep-fried served with sweet chili sauce and crushed peanut",$7.95
Regent Thai,Pla Muek Tod,"Fresh squid lightly battered deep-fried served 
    with sweet & sour sauce",$6.95
Regent Thai,Goong Sarong (4 pcs.),"Deep-fried shrimp in Thai wrapper served 
    with sweet & sour sauce",$6.95
Regent Thai,Fried Tofu (Vegetarian),Fried fresh tofu served with sweet & sour sauce and crushed peanuts.,$6.95
Regent Thai,Garden Herb Rolls (Vegetarian),"Mixed vegetables, sweet basil, noodles, wrapped in rice paper served with peanut-chili dipping sauce",$6.95
Regent Thai,Tom Yum Shrimp,Shrimp and mushrooms in lemon grass hot&sour; soup,$6.95
Regent Thai,Tom Yum Seafood,Seafood and mushrooms in lemon grass hot&sour; soup,$6.95
Regent Thai,Tom Kha,Tom Kha Gai,$5.95
Regent Thai,Poh Tack,"Seafood combination, mushrooms and basil leaves in spicy lemon grass soup",$6.95
Regent Thai,Poh Tack Shrimp,Shrimp and basil leaves in spicy lemon grass soup,$6.95
Regent Thai,Vegetable Soup,Mixed vegetables soup,$5.95
Regent Thai,Tofu Soup,Fresh tofu and mixed vegetables soup,$5.95
Regent Thai,Seaweed Soup,Seaweed and mixed vegetables soup,$5.95
Regent Thai,Grilled Chicken Salad,Grilled chicken and mixed green salad served with peanut dressing,$8.95
Regent Thai,Larb Gai Salad,"Ground chicken mixed with spicy lime juice, red onion, green onion, mint, cilantro, and Thai herbs",$7.95
Regent Thai,Mango Salad,"Julienned green mango, roasted ground coconut and chopped red onion in chili and garlic dressing",$7.95
Regent Thai,Num Tok Salad,"Grilled beef tossed in spicy lime dressing, red onion, green onion, mint, cilantro, and Thai herbs",$7.95
Regent Thai,Pla Goong Salad,Grilled shrimp tossed in chili paste & lime dressing,$7.95
Regent Thai,Papaya Salad,Julienned green papaya in tasty spicy lime garlic dressing.,$6.95
Regent Thai,Sea War Salad,"Seafood salad with Thai herbs and clear noodles. This is spectacular salad with shrimp, scallop and squid",$8.95
Regent Thai,Regent Green Salad (Vegetarian),Mixed green salad served with peanut dressing,$6.95
Regent Thai,Panang,Our curry combined with coconut milk and kaffir lime leaves,
Regent Thai,Green or Red Curry,"Our  green or red curry combined with coconut  milk, eggplant, basil  leaves, bamboo shoot and bell pepper",
Regent Thai,Pad Eggplant,Stir-fried choice of meat with eggplant in a spicy black bean and sweet basil sauce,
Regent Thai,Pad Ginger,"Stir-fried julienned fresh ginger, green onion, mushrooms in light bean sauce",
